code,code_np,level,des_pt,des_en,class
0-42.40,04240,4,Superintendente de operações portuárias,,1980
0-42.45,04245,4,Superintendente do pessoal de mar,,1980
0-42.50,04250,4,Superintendente operacional,,1980
0-42.55,04255,4,Superintendente de câmaras,,1980
0-42.90,04290,4,Outros oficiais de convés e pilotos - navegação marítima e fluvial,,1980
0-43,043,3,Oficiais de máquinas - navegação marítima e fluvial,,1980
0-43.10,04310,4,Chefe de máquinas,,1980
0-43.20,04320,4,Oficial maquinista,,1980
0-43.90,04390,4,Outros oficiais de máquinas - navegação marítima e fluvial,,1980
0-5,05,2,"Biólogos, agrónomos e especialistas similares",,1980
0-51,051,3,"Biólogos, zoólogos e especialistas similares",,1980
0-51.10,05110,4,Biólogo,,1980
0-51.20,05120,4,Botânico,,1980
0-51.30,05130,4,Zoólogo,,1980
0-51.90,05190,4,"Outros biólogos, zoólogos e especialistas similares",,1980
0-52,052,3,"Bacteriologistas, farmacologistas e especialistas similares",,1980
0-52.10,05210,4,Bacteriologista,,1980
0-52.20,05220,4,Virologista,,1980
0-52.30,05230,4,Farmacologista,,1980
0-52.40,05240,4,Fisiologista,,1980
0-52.50,05250,4,Anatomista,,1980
0-52.60,05260,4,Bioquímico,,1980
0-52.70,05270,4,Patologista,,1980
0-52.90,05290,4,"Outros bacteriologistas, farmacologistas e especialistas similares",,1980
0-53,053,3,Engenheiros agrónomos e técnicos similares,,1980
0-53.10,05310,4,Engenheiro agrónomo,,1980
0-53.20,05320,4,Engenheiro silvicultor,,1980
0-53.30,05330,4,Engenheiro técnico agrário - engenharia agrícola,,1980
0-53.40,05340,4,Engenheiro técnico agrário - produção animal,,1980
0-53.50,05350,4,Engenheiro técnico agrário - produção agrícola,,1980
0-53.60,05360,4,Engenheiro técnico agrário - produção florestal,,1980
0-53.70,05370,4,Engenheiro técnico agrário - actividade técnico-comercial,,1980
0-53.80,05380,4,Engenheiro técnico agrário - tecnologia dos produtos alimentares,,1980
0-53.90,05390,4,Outros engenheiros agrónomos e técnicos similares,,1980
0-54,054,3,Técnicos de ciências biológicas e agronómicas,,1980
0-54.10,05410,4,Técnico de análises clínicas,,1980
0-54.20,05420,4,Técnico de análises anatomo-patológicas,,1980
0-54.30,05430,4,Técnico de ciências biológicas,,1980
0-54.40,05440,4,Colector de amostras laboratoriais,,1980
0-54.90,05490,4,Outros técnicos de ciências biólogicas e agronómicas,,1980
0-6,06,2,"Médicos, veterinários, farmacêuticos, terapeutas, enfermeiros e técnicos similares (excepto os do subgrupo 0-7)",,1980
0-61,061,3,Médicos e cirurgiões,,1980
0-61.02,06102,4,Médico - clínica geral,,1980
0-61.04,06104,4,Médico especialista,,1980
